# entry,name,display_id,minlevel,maxlevel,faction,npcflag,type,rank,unit_class,speed_walk,speed_run,base_attack_time,damage_modifier,health_modifier
102,Bronze Dragonspawn,177,1,2,35,0,0,0,1,1.20,1.14,2000,1.00,1.00
103,Garrick Padfoot,2073,5,5,7,0,7,0,1,1.00,0.86,2000,1.00,1.00
105,Tall Strider,178,1,2,35,0,0,0,1,1.20,1.14,2000,1.00,1.00
106,Kodo Beast,179,1,2,35,0,1,0,1,1.20,1.14,2000,1.00,1.00
107,Raptor,180,1,2,35,0,1,0,1,1.20,1.14,2000,1.00,1.00
108,Green Dragonspawn,181,1,2,35,0,0,0,1,1.20,1.14,2000,1.00,1.00
109,White Dragonspawn,182,1,2,35,0,0,0,1,1.20,1.14,2000,1.00,1.00
111,Priest,20,3,4,12,0,7,0,1,1.20,1.14,2000,1.00,1.00
112,Priestess,14,3,4,12,0,7,0,1,1.20,1.14,2000,1.00,1.00
113,Stonetusk Boar,503,5,6,189,0,1,0,1,1.00,0.86,2000,1.00,1.00
114,Harvest Watcher,378,14,15,14,0,9,0,1,1.00,1.14,2000,1.00,1.00
115,Harvest Reaper,379,17,18,14,0,9,0,1,1.00,1.14,2000,1.00,1.00
116,Defias Bandit,2357,8,9,17,0,7,0,1,1.00,0.86,2000,1.00,1.00
117,Riverpaw Gnoll,175,11,12,20,0,7,0,1,1.20,1.14,2000,1.00,1.00
118,Prowler,11415,9,10,38,0,1,0,1,1.00,0.86,1500,1.00,1.00
119,Longsnout,381,10,11,189,0,1,0,1,1.00,1.14,2000,1.00,1.00
120,Forest Stalker,366,9,10,22,0,1,0,1,1.00,0.86,2000,1.00,1.00
121,Defias Pathstalker,2336,16,16,17,0,7,0,1,1.00,1.14,2000,1.00,1.00
122,Defias Highwayman,2342,17,18,17,0,7,0,1,1.00,1.14,2000,1.00,1.00
123,Riverpaw Mongrel,383,14,14,20,0,7,0,1,1.00,1.19,2000,1.00,1.00
124,Riverpaw Brute,384,15,16,20,0,7,0,1,1.20,1.14,2000,1.00,1.00
125,Riverpaw Overseer,10790,19,20,20,0,7,0,1,1.00,1.19,2000,1.00,1.00
126,Murloc Coastrunner,983,12,13,18,0,7,0,1,1.00,1.43,2000,1.00,1.00
127,Murloc Tidehunter,1995,18,19,18,0,7,0,2,1.00,1.14,2000,1.00,1.00
149,[UNUSED] Small Black Dragon Whelp,387,6,7,14,0,2,0,1,1.00,1.14,2000,1.00,1.00
150,[UNUSED] Brother Milius,190,5,5,12,0,7,0,1,1.00,1.14,2000,1.00,1.00
151,Brog Hamfist,1292,10,10,12,384,7,0,1,1.00,1.14,1500,1.00,1.00
152,Brother Danil,3277,5,5,12,384,7,0,1,1.00,1.14,1500,1.00,1.00
154,Greater Fleshripper,1105,16,17,73,0,1,0,1,1.00,1.14,2000,1.00,1.00
157,Goretusk,3027,14,15,189,0,1,0,1,1.00,1.14,2000,1.00,1.00
161,[UNUSED] Ander the Monk,18,10,10,12,0,7,0,1,1.00,1.14,2000,1.00,1.00
163,[UNUSED] Destitute Farmer,18,4,4,12,0,7,0,1,1.00,1.14,2000,1.00,1.00
165,[UNUSED] Small Child,390,1,1,12,0,7,0,1,1.00,1.14,2000,1.00,1.00
167,Morhan Coppertongue,1844,13,13,55,4224,7,0,1,1.00,1.14,2000,1.00,1.00
171,Murloc Warrior,1305,15,16,18,0,7,0,1,1.00,0.86,3000,1.00,1.00
190,Dermot Johns,3276,5,5,12,4224,7,0,1,1.00,1.14,2000,1.00,1.00
196,Eagan Peltskinner,3251,3,3,12,2,7,0,1,1.00,1.14,1500,1.00,1.00
197,Marshal McBride,1859,20,20,12,3,7,0,1,1.00,1.14,1500,1.00,1.00
198,Khelden Bremen,5001,5,5,12,51,7,0,1,1.00,1.14,1500,1.00,1.00
199,Young Fleshripper,410,10,11,73,0,1,0,1,1.00,1.14,2000,1.00,1.00
200,Shambling Skeleton UNUSED,158,20,21,35,0,6,0,1,1.00,1.14,2000,1.00,1.02
201,Brittlebones Skeleton,11400,1,1,21,0,6,0,1,1.20,1.14,2000,1.00,1.00
213,Starving Dire Wolf,801,19,20,38,0,1,0,1,1.00,1.14,2000,1.00,1.00
217,Venom Web Spider,955,19,20,22,0,1,0,1,1.00,1.14,2000,1.00,1.00
219,[UNUSED] Logan Mar,17,20,20,12,0,7,0,1,1.00,1.14,2000,1.00,1.00
220,[UNUSED] Khebil Steelsmith,17,17,17,12,0,7,0,1,1.00,1.14,2000,1.00,1.00
221,Dannus,23,17,17,12,0,7,0,1,1.20,1.14,2000,1.00,1.00
222,Nillen Andemar,1845,19,19,55,4224,7,0,1,1.00,1.14,1500,1.00,1.00
224,Zek Marston,20,15,15,12,0,7,0,1,1.20,1.14,2000,1.00,1.00
229,Vaious,17,1,1,14,0,7,0,1,1.20,1.14,2000,1.00,1.35
230,Thornton Fellwood,4335,1,1,35,0,7,0,1,1.20,1.14,2000,1.00,1.05
233,Farmer Saldean,1943,20,20,12,643,7,0,1,1.00,1.14,1500,1.00,1.00
235,Salma Saldean,1691,20,20,12,2,7,0,1,1.00,1.14,1500,1.00,1.00
237,Farmer Furlbrow,1944,20,20,12,3,7,0,1,1.00,1.14,1500,1.00,1.00
238,Verna Furlbrow,1692,20,20,12,3,7,0,1,1.00,1.14,1500,1.00,1.00
239,Grimbooze Thunderbrew,3265,20,20,55,3,7,0,1,1.00,1.14,1500,1.00,1.00
241,"Remy \""Two Times\""",3254,5,5,12,3,7,0,1,1.00,1.14,1500,1.00,1.00
242,Horras Brackwell,214,10,10,12,0,7,0,1,1.20,1.14,2000,1.00,1.00
243,[UNUSED] Greeby Mudwhisker TEST,163,5,5,35,0,7,0,1,1.00,1.14,2000,1.00,1.00
244,Ma Stonefield,3330,3,3,12,2,7,0,1,1.00,1.14,1500,1.00,1.00
246,"\""Auntie\"" Bernice Stonefield",3329,6,6,12,2,7,0,1,1.00,1.14,1500,1.00,1.00
247,Billy Maclure,221,1,1,12,2,7,0,1,1.00,1.14,2000,1.00,1.00
248,Gramma Stonefield,2959,3,3,12,2,7,0,1,1.00,1.14,1500,1.00,1.00
250,Pa Maclure,3327,6,6,12,0,7,0,1,1.00,1.14,2000,1.00,1.00
251,Maybell Maclure,3323,2,2,12,2,7,0,1,1.00,1.14,2000,1.00,1.00
252,Tommy Joe Stonefield,3331,2,2,12,2,7,0,1,1.00,1.14,1500,1.00,1.00
253,William Pestle,5038,6,6,12,3,7,0,1,1.00,1.14,1500,1.00,1.00
255,Gerard Tiller,3324,6,6,12,2,7,0,1,1.00,1.14,1500,1.00,1.00
257,Kobold Worker,2299,3,3,25,0,7,0,1,1.00,0.86,2000,1.00,1.00
258,Joshua Maclure,3328,5,5,12,128,7,0,1,1.00,1.14,1000,1.00,1.00
262,Half-eaten body,433,1,1,1732,0,3,0,1,1.20,1.14,2000,1.00,1.35
278,Sara Timberlain,3268,5,5,12,2,7,0,1,1.00,1.14,1000,1.00,1.00
281,Kobold Tank,139,7,8,14,0,7,0,1,1.00,0.86,2000,1.00,1.00
282,Kobold Spellcaster,139,7,8,14,0,7,0,1,1.00,0.86,2000,1.00,1.00
283,Kobold Healer,139,7,8,16,0,7,0,1,1.00,0.86,2000,1.00,1.00
284,Brown Horse,2404,2,2,35,0,1,0,1,0.91,1.14,2000,1.00,1.00
285,Murloc,617,6,7,18,0,7,0,1,1.00,0.86,2000,1.00,1.00
286,Old Rotten Gill,346,11,11,18,0,7,0,1,1.20,1.14,2000,1.00,1.00
290,Placeholder - Fargodeep Mine,68,13,14,12,0,3,0,1,1.20,1.14,2000,1.00,1.35
294,Marshal Haggard,1689,20,20,12,2,7,0,1,1.00,1.14,1000,1.00,1.00
296,[UNUSED] Goodmother Jans,232,20,21,12,0,7,0,1,1.00,1.14,2000,1.00,1.02
299,Diseased Young Wolf,31049,1,1,32,0,1,0,1,1.00,0.86,2000,1.00,1.00
304,Felsteed,2346,1,2,35,0,3,0,1,0.91,1.14,2000,1.00,1.00
305,White Stallion,2410,1,2,35,0,1,0,1,0.91,1.14,2000,1.00,1.00
306,Palomino,2408,1,2,35,0,1,0,1,0.91,1.14,2000,1.00,1.00
307,Pinto,2409,1,2,35,0,1,0,1,0.91,1.14,2000,1.00,1.00
308,Black Stallion,2402,1,2,35,0,1,0,1,1.00,1.14,2000,1.00,1.00
309,Rolf's corpse,433,1,1,35,0,10,0,1,1.20,1.14,2000,1.00,1.35
311,Sven Yorgen,4327,20,20,12,2,7,0,1,1.00,1.14,1000,1.00,1.00
318,[UNUSED] Brother Akil,190,5,5,12,0,7,0,1,1.00,1.14,2000,1.00,1.00
319,[UNUSED] Brother Benthas,190,5,5,12,0,7,0,1,1.00,1.14,2000,1.00,1.00
320,[UNUSED] Brother Cryus,190,5,5,12,0,7,0,1,1.00,1.14,2000,1.00,1.00
321,[UNUSED] Brother Deros,190,5,5,12,0,7,0,1,1.00,1.14,2000,1.00,1.00
322,[UNUSED] Brother Enoch,190,5,5,12,0,7,0,1,1.00,1.14,2000,1.00,1.00
323,[UNUSED] Brother Farthing,190,10,10,12,0,7,0,1,1.00,1.14,2000,1.00,1.00
324,[UNUSED] Brother Greishan,190,10,10,12,0,7,0,1,1.00,1.14,2000,1.00,1.00
325,Hogan Ference,4320,20,20,12,0,7,0,1,1.00,1.14,1500,1.00,1.00
326,[UNUSED] Brother Ictharin,190,10,10,12,0,7,0,1,1.00,1.14,2000,1.00,1.00
327,Goldtooth,2299,8,8,26,0,7,0,1,1.00,0.86,2000,1.00,1.00
328,Zaldimar Wefhellt,1294,13,13,12,51,7,0,1,1.00,1.14,1500,1.00,1.00
330,Princess,8871,9,9,7,0,1,0,1,1.00,0.86,2000,1.00,1.00
341,Foreman Oslow,1748,20,20,12,2,7,0,1,1.00,1.14,1000,1.00,1.00
342,Martie Jainrose,1743,20,20,12,2,7,0,1,1.00,1.14,1000,1.00,1.00
343,Chef Breanna,3377,19,19,12,2,7,0,1,1.00,1.14,2000,1.00,1.00
351,Peasant,87,1,2,12,0,7,0,1,1.20,1.14,2000,1.00,1.00
354,[UNUSED] Grall Twomoons,244,10,10,12,0,7,0,1,1.00,1.14,2000,1.00,1.00
356,Black Wolf,207,10,10,35,0,1,0,1,1.00,1.39,2000,1.00,1.00
358,Timber Wolf,247,10,10,35,0,1,0,1,0.91,1.14,2000,1.00,1.00
359,Winter Wolf,1166,10,10,35,0,1,0,1,0.91,1.14,2000,1.00,1.00
361,Saytr,467,1,1,14,0,0,0,1,1.20,1.14,2000,1.00,1.00
364,Slime,358,1,1,14,0,10,0,1,1.20,1.14,2000,1.00,1.00
365,Scott's Flying Mount,6852,1,1,14,0,10,0,1,1.20,1.14,2000,1.00,1.00
370,Boy,221,1,2,12,0,7,0,1,1.20,1.14,2000,1.00,1.00
371,Girl,257,1,1,12,0,7,0,1,1.20,1.14,2000,1.00,1.00
372,Karm Ironquill,8089,16,16,12,128,7,0,1,1.00,1.14,1500,1.00,1.00
375,Priestess Anetta,3344,5,5,12,51,7,0,1,1.00,1.14,1500,1.00,1.00
377,Priestess Josetta,1295,13,13,12,51,7,0,1,1.00,1.14,1500,1.00,1.00
379,Darcy,3367,15,15,12,2,7,0,1,1.00,1.14,2000,1.00,1.00
381,Dockmaster Baren,3360,20,20,12,2,7,0,1,1.00,1.14,2000,1.00,1.00
383,Jason Mathers,3273,7,7,12,2,7,0,1,1.00,1.14,1000,1.00,1.00
384,Katie Hunter,3270,10,10,12,131,7,0,1,1.00,1.14,2000,1.00,1.00
385,Horse,229,5,5,35,0,8,0,1,1.00,0.86,2000,4.60,1.00
386,[UNUSED] Ulric the Grim,19,20,20,12,0,7,0,1,1.00,1.14,2000,1.00,1.00
390,Porcine Entourage,377,7,7,7,0,1,0,1,1.00,0.86,2000,1.00,1.00
391,Old Murk-Eye,5243,20,20,18,0,7,0,1,1.00,1.14,2000,1.00,1.20
393,Tame Wolf,165,10,10,12,0,1,0,1,1.20,1.14,2000,1.00,1.00
395,Markus,262,1,1,12,0,7,0,1,1.00,1.14,2000,1.00,1.00
399,Boy - placeholder 05,251,1,2,12,0,0,0,1,1.20,1.14,2000,1.00,1.00
400,Boy - placeholder 06,251,1,2,12,0,0,0,1,1.20,1.14,2000,1.00,1.00
401,Boy - placeholder 07,251,1,2,12,0,0,0,1,1.20,1.14,2000,1.00,1.00
402,Boy - placeholder 08,251,1,2,12,0,0,0,1,1.20,1.14,2000,1.00,1.00
403,Boy - placeholder 09,251,1,2,12,0,0,0,1,1.20,1.14,2000,1.00,1.00
404,Girl - placeholder 01,252,1,2,12,0,0,0,1,1.20,1.14,2000,1.00,1.00
405,Girl - placeholder 02,252,1,2,12,0,0,0,1,1.20,1.14,2000,1.00,1.00
406,Girl - placeholder 03,252,1,2,12,0,0,0,1,1.20,1.14,2000,1.00,1.00
407,Girl - placeholder 04,252,1,2,12,0,0,0,1,1.20,1.14,2000,1.00,1.00
408,Girl - placeholder 05,252,1,2,12,0,0,0,1,1.20,1.14,2000,1.00,1.00
409,Girl - placeholder 06,252,1,2,12,0,0,0,1,1.20,1.14,2000,1.00,1.00
410,Girl - placeholder 07,252,1,2,12,0,0,0,1,1.20,1.14,2000,1.00,1.00
411,Girl - placeholder 08,252,1,2,12,0,0,0,1,1.20,1.14,2000,1.00,1.00
416,Imp,4449,5,5,73,0,3,0,8,1.00,1.14,2000,1.00,0.84
418,Lesser Voidwalker,1131,20,20,90,0,3,0,1,1.20,1.14,2000,1.00,1.00
421,Murphestos,149,1,1,14,0,0,0,1,1.20,1.14,2000,1.00,1.00
422,Murloc Flesheater,506,18,19,18,0,7,0,1,1.00,1.14,2000,1.00,1.00
423,Redridge Mongrel,487,15,16,19,0,7,0,1,1.00,1.19,2000,1.00,1.00
424,Redridge Poacher,551,16,17,19,0,7,0,1,1.00,1.19,2000,1.00,1.00
426,Redridge Brute,500,17,18,19,0,7,0,1,1.20,1.14,2700,1.00,1.00
428,Dire Condor,490,18,19,14,0,1,0,1,1.00,1.14,2000,1.00,1.00
430,Redridge Mystic,10789,18,19,19,0,7,0,8,1.00,1.14,2000,1.00,1.00
440,Blackrock Grunt,6033,19,20,40,0,7,0,1,1.00,1.14,2000,1.00,1.00
441,Black Dragon Whelp,387,17,18,14,0,2,0,8,1.11,1.14,2000,1.00,1.00
442,Tarantula,366,15,16,22,0,1,0,1,1.00,1.14,2000,1.00,1.00
445,Redridge Alpha,609,19,20,19,0,7,0,1,1.20,1.14,2000,1.00,1.02
446,Redridge Basher,609,18,19,19,0,7,0,1,1.20,1.14,2000,1.00,1.00
448,Hogger,384,11,11,20,0,7,1,1,1.20,1.14,2000,1.70,3.00
449,Defias Knuckleduster,2344,16,17,17,0,7,0,1,1.00,1.14,2000,1.00,1.00
450,Defias Renegade Mage,4420,18,19,17,0,7,0,8,1.00,1.14,2000,1.00,1.00
452,Riverpaw Bandit,383,16,17,20,0,7,0,1,1.00,1.19,2000,1.00,1.00
453,Riverpaw Mystic,502,18,19,20,0,7,0,2,1.00,1.14,2000,1.00,1.00
454,Young Goretusk,8871,12,13,189,0,1,0,1,1.00,1.14,2000,1.00,1.00
456,Murloc Minor Oracle,486,14,14,18,0,7,0,2,1.00,1.14,2000,1.00,1.00
458,Murloc Hunter,757,16,17,18,0,7,0,1,1.00,1.14,2000,1.00,1.00
459,Drusilla La Salle,3345,5,5,12,51,7,0,1,1.00,1.14,1500,1.00,1.00
460,Alamar Grimm,1930,5,5,875,51,7,0,1,1.00,1.14,1500,1.00,1.00
465,Barkeep Dobbins,3266,10,10,12,640,7,0,1,1.00,1.14,2000,1.00,1.00
467,The Defias Traitor,2311,15,15,10,2,7,0,1,1.00,0.89,2000,1.00,1.00
471,Mother Fang,2541,10,10,22,0,1,4,1,1.00,0.86,2000,1.00,1.00
472,Fedfennel,175,12,12,20,0,7,4,1,1.20,1.14,2000,1.00,1.00
473,Morgan the Collector,2074,10,10,17,0,7,0,1,1.00,0.86,2000,1.00,1.00
474,Defias Rogue Wizard,2359,9,10,17,0,7,0,8,1.00,0.86,2000,1.00,1.00
475,Kobold Tunneler,139,5,6,26,0,7,0,1,1.00,0.86,2000,1.00,1.00
476,Kobold Geomancer,163,7,8,26,0,7,0,8,1.00,0.86,2000,1.00,1.00
478,Riverpaw Outrunner,512,9,10,20,0,7,0,1,1.20,0.86,2000,1.00,1.00
480,Rusty Harvest Golem,514,9,10,14,0,9,0,1,1.00,0.86,2000,1.00,1.00
481,Defias Footpad,2333,10,11,17,0,7,0,1,1.00,1.14,2000,1.00,1.00
485,Blackrock Outrunner,6034,20,21,40,0,7,0,1,1.00,1.14,2500,1.00,1.02
491,Quartermaster Lewis,3342,20,20,12,387,7,0,1,1.00,1.14,1500,1.00,1.00
498,[UNUSED] Watcher Larsen,2393,20,20,56,0,7,0,1,1.00,1.14,2000,1.00,1.00
500,Riverpaw Scout,374,12,13,20,0,7,0,1,1.00,1.19,2000,1.00,1.00
501,Riverpaw Herbalist,413,14,15,20,0,7,0,1,1.00,1.14,2000,1.00,1.00
502,Benny Blaanco,4422,15,15,17,0,7,0,1,1.00,1.14,2000,1.00,1.00
504,Defias Trapper,2331,12,13,17,0,7,0,1,1.00,1.14,2000,1.00,1.00
505,Greater Tarantula,520,19,20,22,0,1,0,1,1.00,1.14,2000,1.00,1.00
506,Sergeant Brashclaw,383,18,18,20,0,7,4,1,1.00,1.19,2000,1.00,1.00
513,Murloc Netter,1994,14,15,18,0,7,0,1,1.00,1.14,2000,1.00,1.00
515,Murloc Raider,441,11,12,18,0,7,0,1,1.00,1.14,2000,1.00,1.00
517,Murloc Oracle,1079,17,18,18,0,7,0,2,1.00,1.14,2000,1.00,1.00
518,Yowler,488,20,20,19,0,7,0,1,1.00,1.19,2000,1.00,1.02
519,Slark,540,15,15,18,0,7,4,1,1.00,1.14,1600,1.00,1.00
520,Brack,652,19,19,18,0,7,4,1,1.00,1.14,2800,1.00,1.00
524,Rockhide Boar,389,7,8,189,0,1,0,1,1.00,0.86,2000,1.00,1.00
525,Mangy Wolf,903,5,6,38,0,1,0,1,1.00,0.86,1700,1.00,1.00
539,Pygmy Venom Web Spider,958,18,19,22,0,1,0,1,1.00,1.14,2000,1.00,1.00
545,Murloc Tidecaller,5293,19,20,18,0,7,0,2,1.00,1.14,2000,1.00,1.00
547,Great Goretusk,3035,16,17,189,0,1,0,1,1.00,1.14,2000,1.00,1.00
548,Murloc Minor Tidecaller,1079,17,18,18,0,7,0,2,1.00,1.14,2000,1.00,1.00
550,Defias Messenger,2312,14,14,34,0,7,0,1,1.00,1.14,2000,1.00,1.00
564,Kobold Slave,163,10,11,26,0,7,0,1,1.20,1.14,2000,1.00,1.00
565,Rabid Dire Wolf,802,20,21,38,0,1,0,1,1.00,1.14,2000,1.00,1.02
566,V'rex,501,19,19,20,0,7,0,1,1.20,1.14,2000,1.00,1.00
567,Blacknails,3196,15,15,17,0,7,0,1,1.20,1.14,2000,1.00,1.00
572,Leprithus,1065,19,19,21,0,6,4,2,0.78,1.14,2000,1.00,1.00
573,Foe Reaper 4000,548,20,20,14,0,9,4,1,1.00,1.14,2000,1.00,1.00
578,Murloc Scout,391,19,20,18,0,7,0,1,1.00,1.14,2000,1.00,1.00
580,Redridge Drudger,551,20,21,19,0,7,0,1,1.00,1.19,1500,1.00,1.02
582,Old Blanchy,236,2,2,35,0,8,0,1,1.00,1.29,2000,1.00,1.00
583,Defias Ambusher,184,8,9,27,0,7,0,4,1.00,0.86,2000,1.00,1.00
589,Defias Pillager,2338,14,15,17,0,7,0,8,1.00,1.14,2000,1.00,1.00
590,Defias Looter,2340,13,14,17,0,7,0,1,1.00,1.14,2000,1.00,1.00
592,[UNUSED] Defias Arsonist,263,15,15,17,0,7,0,1,1.00,1.14,2000,1.00,1.00
594,Defias Henchman,2323,15,16,17,0,7,0,1,1.00,1.14,2000,1.00,1.00
596,Brainwashed Noble,3267,18,18,17,0,7,4,8,1.00,1.14,2000,1.00,1.50
598,Defias Miner,308,17,18,17,0,7,0,1,0.67,1.14,2000,1.00,1.00
599,Marisa du'Paige,2355,18,18,17,0,7,4,8,1.00,1.14,2000,1.00,1.50
601,Capo the Mean,2354,19,19,17,0,7,2,1,1.20,1.14,2000,7.50,3.00
619,Defias Conjurer,2329,15,16,17,0,7,0,8,1.00,1.14,2000,1.00,1.00
620,Chicken,304,1,1,31,2,8,0,1,1.00,0.86,2000,1.00,0.01
622,Goblin Engineer,7109,18,19,17,0,7,1,1,1.00,1.14,2000,1.70,3.00
623,Skeletal Miner,11402,17,18,21,0,6,0,1,1.00,1.14,2000,1.00,1.00
624,Undead Excavator,10630,17,18,21,0,6,0,1,0.78,1.14,2000,1.00,1.00
625,Undead Dynamiter,829,17,18,21,0,6,0,1,0.78,1.14,2000,1.00,1.00
626,Foreman Thistlenettle,10628,18,18,21,0,6,0,1,0.78,1.14,2000,1.00,1.20
631,pnagle's test dude,251,1,2,35,0,7,0,1,1.00,1.14,2000,1.00,1.00
633,Elaine Carevin,1571,18,18,12,2,7,0,1,1.00,1.14,1500,1.00,1.00
634,Defias Overseer,2316,17,18,17,0,7,1,1,1.00,1.14,2000,1.70,3.00
636,Defias Blackguard,2314,19,19,17,0,7,1,1,1.00,1.14,2000,1.70,3.00
638,Goblin Mercenary,7107,18,19,17,0,7,1,1,1.20,1.14,2000,7.50,3.00
639,Edwin VanCleef,2029,20,20,17,0,7,1,1,1.00,1.14,1500,2.45,8.00
641,Goblin Woodcarver,7111,18,19,17,0,7,1,1,1.00,1.14,2000,1.70,3.00
642,Sneed's Shredder,1269,20,20,17,0,9,1,1,1.00,1.14,2000,3.30,8.00
643,Sneed,7125,20,20,17,0,7,1,1,1.00,1.14,2000,3.30,5.00
644,Rhahk'Zor,14403,19,19,17,0,7,1,1,1.00,1.14,3500,2.50,10.00
645,Cookie,1305,20,20,17,0,7,1,1,1.00,1.14,2000,2.45,6.00
646,Mr. Smite,2026,20,20,17,0,7,1,1,1.00,1.14,2000,2.45,8.00
647,Captain Greenskin,7113,20,20,17,0,7,1,1,1.00,1.14,2500,2.45,6.00
648,Bridge Worker Trent,5003,5,5,12,0,7,0,1,0.93,1.14,2000,1.00,1.00
649,Bridge Worker Dmitri,5004,10,10,12,0,7,0,1,0.96,1.14,2000,1.00,1.00
650,Bridge Worker Jess,5005,6,6,12,0,7,0,1,0.94,1.14,2000,1.00,1.00
651,Bridge Worker Daniel,5006,6,6,12,0,7,0,1,0.94,1.14,2000,1.00,1.00
652,Bridge Worker Matthew,5007,6,6,12,0,7,0,1,0.94,1.14,2000,1.00,1.00
653,Bridge Worker Alex,5008,6,6,12,0,7,0,1,0.94,1.14,2000,1.00,1.00
656,Wilder Thistlenettle,2363,20,20,55,2,7,0,1,1.00,1.14,2000,1.00,1.00
657,Defias Pirate,2347,19,20,17,0,7,1,1,1.00,1.14,2000,1.70,3.00
658,Sten Stoutarm,1362,5,5,55,3,7,0,1,1.00,1.14,1500,1.00,1.00
663,Calor,2027,20,20,12,2,7,0,1,1.00,1.14,2000,1.00,1.00
664,Benjamin Carevin,221,2,2,12,2,7,0,1,1.00,1.14,2000,1.00,1.00
704,Ragged Timber Wolf,11416,2,2,32,0,1,0,1,1.00,0.86,2000,1.00,1.00
705,Ragged Young Wolf,855,1,1,32,0,1,0,1,1.00,0.86,2000,1.00,1.00
706,Frostmane Troll Whelp,27502,3,4,190,0,7,0,1,1.00,0.86,2000,1.00,1.00
707,Rockjaw Trogg,606,1,2,36,0,7,0,1,1.00,0.86,2000,1.00,1.00
708,Small Crag Boar,607,3,3,189,0,1,0,1,1.00,0.86,2000,1.00,1.00
712,Redridge Thrasher,489,14,15,19,0,7,0,1,1.20,1.14,2000,1.00,1.00
713,Balir Frosthammer,1355,5,5,55,2,7,0,1,1.00,1.14,1500,1.00,1.00
714,Talin Keeneye,1363,5,5,55,3,7,0,1,1.00,1.14,1500,1.00,1.00
